cole_nombre_establecimiento,Promedio_Puntaje_Global,cole_bilingue,cole_caracter,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_area_ubicacion,cole_depto_ubicacion,Decil
"""CENTRO EDUCATIVO TÉCNICO INTEGRAL """"CETI""""""",257.2857142857143,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,6
"""COLEGIO PARA LA REINTEGRACION INTELECTUAL DEL ORIENTE """"CORPORIENTE""""""",207.9378238341969,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CESAR,1
"""COLEGIO TECNICO INDUSTRIAL """"CORAZON DE MARIA""""""",269.12820512820514,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CUNDINAMARCA,7
"""I.E. DE FORMACIÓN PARA LA VIDA """"CEVIDA""""""",256.05882352941177,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ANTIOQUIA,6
"""IED """"MONSEÑOR ALBERTO REYES FONSECA""""""",247.8125,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CUNDINAMARCA,5
"""INSTITUCION EDUCATIVA """"CENTEC""""""",205.66666666666666,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,TOLIMA,1
"""INSTITUCION EDUCATIVA CENTRO REGIONAL DE INVESTIGACION EDUCACION Y EXTENSION DE TAURAMENA """"CRIET""""""",239.15384615384616,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CASANARE,4
"""INSTITUCION EDUCATIVA DISTRITAL DE BARRANQUILLA """"CODEBA""""""",253.75,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,ATLANTICO,5
"""INSTITUCION EDUCATIVA DISTRITAL TECNICA DIVERSIFICADA DE BARRANQUILLA """"COTEDIBA""""""",234.3956043956044,N,TÉCNICO/ACADÉMICO,A,MIXTO,TARDE,OFICIAL,URBANO,ATLANTICO,3
"""INSTITUCION EDUCATIVA JOSE ODEL LIZARAZO """"VILLAMAGA""""""",251.61111111111111,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ARAUCA,5
"""INSTITUCION EDUCATIVA SAN NICOLAS """"INESAN""""""",259.2586206896552,Desconocido,ACADÉMICO,A,MIXTO,NOCHE,OFICIAL,URBANO,RISARALDA,6
"""INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA",49.294117647058826,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,BOLIVAR,1
"""LATINOAMERICANA DE SISTEMAS Y EDUCACION """"LASIT""""""",244.39805825242718,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,BOGOTA,4
"""LICEO HOLCIM """"EDUCAMOS PARA LA INNOVACION Y EL EMPRENDIMIENTO""""""",302.27777777777777,N,TÉCNICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOYACA,9
ACAD AMERICANA DE SISTEMAS Y COMERCIO,228.94736842105263,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,BOGOTA,2
ACAD CENTRAL DE SISTEMAS ACSI,239.26470588235293,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,BOGOTA,4
ACAD MILIT MARISCAL SUCRE,284.32,N,ACADÉMICO,A,MASCULINO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,9
ACAD PANTANO DE VARGAS,276.5,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CUNDINAMARCA,8
ACAD. MILITAR GRAL. CUSTODIO GARCIA R.,284.625,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CALDAS,9
ACADE MILIT JOAQUÍN DE CAICEDO Y CUERO,262.76190476190476,N,ACADÉMICO,B,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,7
ACADEMIA ACADEMIA SAM,239.0,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,4
ACADEMIA CORPETROL,226.6578947368421,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,HUILA,2
ACADEMIA DE CIENCIAS DE COLOMBIA AKADEMOS,276.42857142857144,N,ACADÉMICO,B,MIXTO,NOCHE,NO OFICIAL,URBANO,VALLE,8
ACADEMIA E INSTITUTO CAMPAÑA LIBERTADORA,282.0,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,META,8
ACADEMIA GENERAL CARLOS JULIO GIL COLORADO,272.77777777777777,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,VALLE,8
ACADEMIA GUSTAVO ROJAS PINILLAS,282.7857142857143,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CORDOBA,8
ACADEMIA MILIT CORONEL MIGUEL CABAL BARONA,261.42857142857144,N,TÉCNICO/ACADÉMICO,B,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,6
ACADEMIA MILITAR GENERAL JOSE ANTONIO ANZOATEGUI,284.3,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,HUILA,9
ACADEMIA MILITAR GENERAL JOSÉ MARÍA CABAL,246.61016949152543,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,5
ACADEMIA MILITAR GRAL TOMAS CIPRIANO DE MOSQUERA,303.0,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CAUCA,9
ACADEMIA MILITAR GUSTAVO MATAMOROS D COSTA,274.0833333333333,Desconocido,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CAUCA,8
ACADEMIA MILITAR JOSE ANTONIO PAEZ,267.05405405405406,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,META,7
ACADEMIA POLITECNICA INTERACTIVA,241.39285714285714,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,ANTIOQUIA,4
ACADEMICO,253.71226415094338,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,VALLE,5
ADVENTISTA DE QUIBDO BOLIVAR ESCANDON,257.29411764705884,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CHOCO,6
ALAIN VALENCIA,240.86666666666667,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,4
ALAS COLEGIO,326.375,Desconocido,ACADÉMICO,B,MIXTO,COMPLETA,NO OFICIAL,URBANO,VALLE,10
ALFONSO LOPEZ PUMAREJO,239.8846153846154,N,ACADÉMICO,A,MIXTO,TARDE,OFICIAL,URBANO,VALLE,4
ALFREDO VASQUEZ COBO,191.0,Desconocido,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,VALLE,1
ALTO YUMA,236.0,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,HUILA,3
AMERICAN SCHOOL,319.4516129032258,N,ACADÉMICO,B,MIXTO,COMPLETA,NO OFICIAL,URBANO,ATLANTICO,10
AMERICAN SCHOOL SAINT FRANCES,357.5,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOYACA,10
ANTONIO HOLGUIN GARCES,250.7843137254902,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,VALLE,5
ANTONIO JOSE DE SUCRE,212.53571428571428,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,VALLE,1
ANTONIO NARIÑO,222.56,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,VALLE,2
ASOC EDUC COL ARANGO Y CUERO,247.3125,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,5
ASOCIACION COLEGIO GRANADINO,361.64444444444445,S,TÉCNICO/ACADÉMICO,B,MIXTO,COMPLETA,NO OFICIAL,RURAL,CALDAS,10
ASOCIACION LICEO SAN FERNANDO,234.92307692307693,N,ACADÉMICO,A,MIXTO,TARDE,NO OFICIAL,URBANO,BOLIVAR,3
ASPAEN COLEGIO JUANAMBÚ,340.5,N,ACADÉMICO,B,MASCULINO,COMPLETA,NO OFICIAL,URBANO,VALLE,10
ASPAEN GIMNASIO ALTAMAR BILINGUE,312.5,N,ACADÉMICO,B,MASCULINO,COMPLETA,NO OFICIAL,URBANO,ATLANTICO,10
ASPAEN GIMNASIO CANTILLANA,364.85714285714283,S,ACADÉMICO,A,FEMENINO,COMPLETA,NO OFICIAL,URBANO,SANTANDER,10
ASPAEN GIMNASIO CARTAGENA,380.07142857142856,N,ACADÉMICO,B,MIXTO,COMPLETA,NO OFICIAL,RURAL,BOLIVAR,10
ASPAEN GIMNASIO CARTAGENA DE INDIAS,359.9761904761905,S,ACADÉMICO,B,FEMENINO,COMPLETA,NO OFICIAL,RURAL,BOLIVAR,10
ASPAEN GIMNASIO HORIZONTES,339.9230769230769,N,ACADÉMICO,B,MASCULINO,COMPLETA,NO OFICIAL,RURAL,CALDAS,10
ASPAEN GIMNASIO IRAGUA,355.2317073170732,S,ACADÉMICO,B,FEMENINO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,10
ASPAEN GIMNASIO LA FRAGUA,353.9166666666667,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,HUILA,10
ASPAEN GIMNASIO LOS CORALES,358.5,S,ACADÉMICO,B,MIXTO,COMPLETA,NO OFICIAL,URBANO,ATLANTICO,10
ASPAEN GIMNASIO SAUCARA,358.11538461538464,N,ACADÉMICO,A,MASCULINO,COMPLETA,NO OFICIAL,RURAL,SANTANDER,10
ASPAEN GIMNASIO YUMANA,350.0975609756098,N,ACADÉMICO,A,MASCULINO,COMPLETA,NO OFICIAL,URBANO,HUILA,10
ASPAEN LICEO TACURÍ,367.38461538461536,S,ACADÉMICO,B,FEMENINO,COMPLETA,NO OFICIAL,URBANO,VALLE,10
ASPAEN-GIMNASIO LOS CEREZOS,321.3333333333333,S,ACADÉMICO,B,MIXTO,COMPLETA,NO OFICIAL,URBANO,CALDAS,10
ATANASIO GIRARDOT,237.83333333333334,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,VALLE,3
ATENEO AUTONOMO DE COLOMBIA,223.80246913580248,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,HUILA,2
ATENEO AUTONOMO DE FLORENCIA,225.1764705882353,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CAQUETA,2
ATENEO INTEGRAL ANA B. DE FLOREZ,297.17910447761193,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,9
ATENEO JUAN EUDES,281.24528301886795,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,8
ATENEO MODERNO,296.83076923076925,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,MAGDALENA,9
ATENEO TECNICO COMERCIAL,328.70588235294116,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,ATLANTICO,10
ATLANTIS SYSTEM,225.28846153846155,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,NORTE SANTANDER,2
AVANCEMOS UNIVERSIDAD DE IBAGUE,237.55384615384617,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,TOLIMA,3
BACHILLERATO ACADEMICO PARA ADULTOS ALHERSAN,222.9,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CAUCA,2
BACHILLERATO AGROPECUARIO SAT PROHACIENDO,215.11111111111111,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,RURAL,TOLIMA,1
BACHILLERATO DE ADULTOS COLSUBSIDIO,255.73553719008265,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,BOGOTA,6
BACHILLERATO DE ADULTOS UNAD,260.969696969697,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,BOGOTA,6
BACHILLERATO DIVERSIFICADO A DISTANCIA PARA ADULTOS DE LA UNAD,240.11111111111111,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,NORTE SANTANDER,4
BACHILLERATO DIVERSIFICADO INCA Y BASICA PRIMARIA INCA LTDA,274.81632653061223,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,ATLANTICO,8
BACHILLERATO INTEGRAL DEL QUINDIO,256.1272727272727,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,QUINDIO,6
BACHILLERATO PARA ADULTOS MARIA AUXILIADORA,192.2,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CAUCA,1
BACHILLERATO SEMIESCOLARIZADO CHIQUINQUIRA,230.14705882352942,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ATLANTICO,3
BACHILLERATO SEMIPRESENCIAL CANTACLARO,220.9811320754717,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CORDOBA,2
BACHILLERATO TEC AUTODIRIGIDO,250.41176470588235,N,NO APLICA,A,MIXTO,SABATINA,NO OFICIAL,URBANO,ATLANTICO,5
BACHILLERATO TECNICO COMERCIAL SANTA ANA,261.27777777777777,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CUNDINAMARCA,6
BETH SHALOM GIMNASIO CAMPESTRE,321.0,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,SANTANDER,10
BILINGÜE INTERNACIONAL GIMNASIO CAMPESTRE REINO BRITÁNICO,330.875,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CUNDINAMARCA,10
BTO ACAD CICLICO DEL CAUCA,254.9090909090909,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CAUCA,6
BTO FORMAL DE ADULTOS DEL CAUCA,213.9795918367347,N,ACADÉMICO,OTRO,MIXTO,SABATINA,NO OFICIAL,URBANO,CAUCA,1
BTO MIX MANEL SATURIO VALENCIA,192.12121212121212,N,ACADÉMICO,A,MIXTO,TARDE,NO OFICIAL,URBANO,CHOCO,1
BTO MODERNO DE ADULTOS EXTERNADO DEL SUR,244.5151515151515,N,ACADÉMICO,A,MIXTO,TARDE,NO OFICIAL,URBANO,NARIÑO,4
C. E. DE ADULTOS CARL FRIEDICH GAUSS,201.60714285714286,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,ATLANTICO,1
C. E. FORMAL DISCENTER S,247.66176470588235,N,ACADÉMICO,B,MIXTO,NOCHE,NO OFICIAL,URBANO,VALLE,5
C. E. R. SAN JUAN DE AQUITANIA,233.125,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,ANTIOQUIA,3
C.E.  NEOSISTEMAS,330.70588235294116,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ANTIOQUIA,10
C.E. ALTO SICARARE,204.8181818181818,Desconocido,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CESAR,1
C.E. CAJASAN (TEJADOS),306.7083333333333,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,SANTANDER,10
C.E. COSTA CARIBE,205.30337078651687,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,SUCRE,1
C.E. FORMAL PARA ADULTOS LOS SAUCES,225.0,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,BOGOTA,2
C.E. LUIS CARLOS GALAN,244.76923076923077,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,SUCRE,4
C.E. MARIA AUXILIADORA VILLA MONACO,256.2,N,ACADÉMICO,A,MIXTO,TARDE,NO OFICIAL,URBANO,ATLANTICO,6
C.E. MENFIS,281.3333333333333,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CALDAS,8
C.E. MIXTO DE GALAPA,288.7142857142857,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ATLANTICO,9
C.E. NACIONAL DE ADULTO - CENAD,216.8,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,RURAL,CUNDINAMARCA,1
C.E.LAS TINAS,222.78571428571428,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CORDOBA,2
C.EDUC.EVANGELICO LA ESPERANZA,278.6896551724138,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CORDOBA,8
C0LEGIO CRISTIANO LA ESPERANZA,318.48148148148147,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,MAGDALENA,10
CAMBRIDGE SCHOOL (GIMN BILING PLAZA SESAMO),362.25,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,NORTE SANTANDER,10
CAMPESTRE EDELMIRA NIETO,339.0,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,QUINDIO,10
CARMEN EMILSE DE LA HOZ,226.28571428571428,N,TÉCNICO/ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,MAGDALENA,2
CE BACHILLERATO EN BIENESTAR RURAL -APIA-,216.43790849673204,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,RISARALDA,1
CE CACIQUE - NOANAMA,171.0,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CHOCO,1
CE MARIA AUXILIADORA DE ISLA MONO,209.66666666666666,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CHOCO,1
CE PASCUAL SANTANDER,193.0,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CHOCO,1
CE SANTA BARBARA,207.25,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CHOCO,1
CE SIVIRU,199.5,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CHOCO,1
CECOVE,239.32608695652175,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,SANTANDER,4
CEN EDUC COMUNAL FRANCISCO DE PAULA SANTANDER,249.83333333333334,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,CESAR,5
CEN EDUC SANTA TERESITA,249.22727272727272,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CESAR,5
CENANFO,226.57142857142858,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,META,2
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,323.46666666666664,N,TÉCNICO/ACADÉMICO,A,FEMENINO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,10
CENT CIAL MADRE ELISA RONCALLO,300.17241379310343,N,TÉCNICO,A,FEMENINO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,9
CENT DE CAPACITACION  LTDA (CENCABO),257.2950819672131,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,6
CENT DE CAPACITACION VICENTA MARIA,209.0,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,ANTIOQUIA,1
CENT DE DESARROLLO INTEGRADO - CENDI,217.36290322580646,N,ACADÉMICO,OTRO,MIXTO,SABATINA,NO OFICIAL,URBANO,ANTIOQUIA,2
CENT DE EDUC DE ADULTOS CULTURAL,230.45454545454547,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,BOGOTA,3
CENT DE EDUC FORMAL DOCTOR JULIO CARVAJAL GIL  INTECO,222.73170731707316,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ANTIOQUIA,2
CENT DE EDUC FORMAL ROBERT HOOKE,234.97512437810946,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,BOGOTA,3
CENT DE EDUC ROBERT HOOKE,228.88135593220338,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,BOGOTA,2
CENT DE EDUCACION PROACTIVA CEP,232.734375,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CUNDINAMARCA,3
CENT DE ENSENANZA LATINOAMERICANA - CENLA,295.3636363636364,N,ACADÉMICO,OTRO,MIXTO,MAÑANA,NO OFICIAL,URBANO,ANTIOQUIA,9
CENT DE ENSEÑANZA PRECOZ LIC VALDERRAMA,288.09090909090907,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CORDOBA,9
CENT DE FORMACION EDUCATIVA,228.17391304347825,Desconocido,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CUNDINAMARCA,2
CENT DE FORMACION EDUCATIVA CENFE,243.6235294117647,N,NO APLICA,A,MIXTO,NOCHE,NO OFICIAL,URBANO,CUNDINAMARCA,4
CENT DE FORMACION HUMANISTICO-MATEMATICAS-ALBERT EINSTEIN,238.44827586206895,N,NO APLICA,A,MIXTO,SABATINA,NO OFICIAL,URBANO,ATLANTICO,4
CENT DE INTEGRACION EDUCACION DEL NORTE (CIEN ),291.2463768115942,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,9
CENT DEL INMACUALDO CORAZON DE MARIA,287.5,N,TÉCNICO,A,FEMENINO,MAÑANA,NO OFICIAL,URBANO,CAUCA,9
CENT DOC BARTOLOME MITRE,257.44545454545454,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,6
CENT DOC ESTEBAN PERNET,224.59259259259258,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,2
CENT DOC LA VICTORIA,229.0,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,2
CENT DOC PARROQ SAN MARCOS,255.19354838709677,N,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,6
CENT DOC SANTIAGO DE CALI,264.76,S,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,7
CENT EDUC AUTONOMO,284.95,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,ANTIOQUIA,9
CENT EDUC CAJASAN (ADULTOS),275.5,N,NO APLICA,A,MIXTO,NOCHE,NO OFICIAL,URBANO,SANTANDER,8
CENT EDUC COMUNIT OMAR TORRIJOS,251.9047619047619,N,TÉCNICO/ACADÉMICO,A,MIXTO,TARDE,NO OFICIAL,URBANO,VALLE,5
CENT EDUC DE NSTRA SRA DE LA PAZ,292.94505494505495,N,ACADÉMICO,A,FEMENINO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,9
CENT EDUC DIST LA GIRALDA,276.71084337349396,N,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOGOTA,8
CENT EDUC FORMAL DISCENTERS,229.65714285714284,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,VALLE,3
CENT EDUC GONZALO JIMENEZ DE QUESADA EDUCACION NO FORMAL,217.57142857142858,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,CUNDINAMARCA,2
CENT EDUC INTEG BUCARELLY,288.53846153846155,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,ANTIOQUIA,9
CENT EDUC INTEGRAL CEDI,255.75,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,BOLIVAR,6
CENT EDUC JUAN CARLOS GARZON,278.6666666666667,Desconocido,TÉCNICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,8
CENT EDUC LA SABIDURIA,239.07692307692307,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,ATLANTICO,4
CENT EDUC PARA JOVENES Y ADULTOS LEPANTO,232.88888888888889,N,ACADÉMICO,A,MIXTO,NOCHE,NO OFICIAL,URBANO,BOGOTA,3
CENT EDUC PAULO FREIRE,257.5925925925926,N,ACADÉMICO,A,MIXTO,SABATINA,NO OFICIAL,URBANO,SANTANDER,6
CENT EDUC PROEDUCAR,239.66666666666666,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,BOGOTA,4
CENT EDUC RUR BABEGA,243.53846153846155,N,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,4
CENT EDUC RUR CAPITANLARGO,247.11111111111111,Desconocido,ACADÉMICO,A,MASCULINO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,5
CENT EDUC RUR LA CAPILLA,253.96,N,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,5
CENT EDUC RUR LOS GUAYABALES,247.41666666666666,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,5
CENT EDUC RUR MARIA AUXILIADORA,252.10526315789474,N,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,5
CENT EDUC RUR ROMAN,220.04545454545453,N,ACADÉMICO,A,MASCULINO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,2
CENT EDUC RUR SAN JAVIER,218.0,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,NORTE SANTANDER,2
CENT EDUC RUR SAN JOSE DE CALASANZ,223.11764705882354,Desconocido,ACADÉMICO,A,FEMENINO,MAÑANA,OFICIAL,RURAL,NORTE SANTANDER,2
CENT EDUC RUR SAN JOSE DE CASTRO,237.0952380952381,N,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,3
CENT EDUC RUR SAN MIGUEL,216.94117647058823,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,1
CENT EDUC SAGRADA FAMILIA DE NAZARETH,314.989898989899,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,10
CENT EDUC SAN LUIS GONZAGA FE Y ALEGRIA,266.94444444444446,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,7
CENT EDUC SEBASTIAN DE BELALCAZAR,256.34615384615387,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,VALLE,6
CENT EDUC SEMILLAS DE VIDA,231.0,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,VALLE,3
CENT EDUC WILFREDO LEHNER,263.9347826086956,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,7
CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS,347.6034482758621,N,ACADÉMICO,B,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOGOTA,10
CENT EDUCAL CONQUISTADORES,276.3636363636364,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,ANTIOQUIA,8
