cole_nombre_establecimiento,Promedio_Puntaje_Global,cole_bilingue,cole_caracter,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_area_ubicacion,cole_depto_ubicacion,Decil
IE ACADEMICO,274.35460992907804,N,TÉCNICO/ACADÉMICO,A,MIXTO,TARDE,OFICIAL,URBANO,VALLE,8
IE ADOLFO MARIA JIMENEZ,246.4,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,BOYACA,5
IE AGRICOLA DE GUADALAJARA DE BUGA,237.53125,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,VALLE,3
IE AGROAMBIENTAL PIO XII,212.04166666666666,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,RISARALDA,1
IE AGROPECUARIA CRISTO REY DE TUTUNENDO,204.77777777777777,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,CHOCO,1
IE AGROPECUARIO ADVENTISTA DEL LLANO - INSTIVAL,253.1578947368421,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,RURAL,META,5
IE AGROPECUARIO MONTERREY,235.66666666666666,N,TÉCNICO/ACADÉMICO,A,MIXTO,UNICA,OFICIAL,RURAL,VALLE,3
IE AGROPECUARIO NARANJAL,237.4318181818182,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,RISARALDA,3
IE AGUAS NEGRAS,250.8448275862069,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CORDOBA,5
IE ALBERT EINSTEIN,226.8421052631579,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,BOYACA,2
IE ALBERTO MENDOZA MAYOR,256.8598484848485,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,VALLE,6
IE ALCIDES FERNANDEZ,214.03846153846155,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CHOCO,1
IE ALFONSO LOPEZ PUMAREJO,218.64285714285714,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,RISARALDA,2
IE ALFREDO GARCIA,262.37142857142857,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,RISARALDA,7
